AM,mirrors.teamcloud.am,178.160.211.197,178.160.208.0/21,AS12297,Armenia Telephone Company
FR,mirrors.ircam.fr,2001:660:3004:4003::37:80,2001:660::/32,AS2200,RENATER
GB,ask4.mm.fcix.net,78.109.176.29,78.109.176.0/20,AS41230,Ask4 Network
GB,b4sh.mm.fcix.net,185.243.104.98,185.243.104.0/24,AS58273,Broadband for the Surrey Hills
GB,"centos-stream.mirrorservice.org, rsync.mirrorservice.org",212.219.56.184,212.219.0.0/16,AS786,JANET
GB,"centos-stream.mirrorservice.org, rsync.mirrorservice.org",2001:630:341:12::184,2001:630::/32,AS786,JANET
GB,"centos-stream.mirrorservice.org, rsync.mirrorservice.org",212.219.56.184,212.219.0.0/16,AS786,JANET
GB,"centos-stream.mirrorservice.org, rsync.mirrorservice.org",2001:630:341:12::184,2001:630::/32,AS786,JANET
GB,creeperhost.mm.fcix.net,2a04:de40:81::3,2a04:de40:80::/42,AS201971,
GB,creeperhost.mm.fcix.net,185.57.191.252,185.57.191.0/24,AS201971,CreeperHost small customer subnet assignments
GB,fedora.mirrorservice.org,212.219.56.184,212.219.0.0/16,AS786,JANET
GB,fedora.mirrorservice.org,2001:630:341:12::184,2001:630::/32,AS786,JANET
GB,mirror.freethought-internet.co.uk,176.74.19.52,176.74.16.0/21,AS41000,UK-FREETHOUGHT-20110615 route object
GB,mirror.freethought-internet.co.uk,2a00:b980:2:5::52,2a00:b980::/29,AS41000,UK-FREETHOUGHT-20110523 route object
GB,mirrors.20i.com,185.151.29.252,185.151.29.0/24,AS48254,
GB,mirrors.coreix.net,85.13.241.50,85.13.192.0/18,AS31708,Coreix Limited
GB,mirrors.coreix.net,2a01:c0:2:3d::2,2a01:c0::/32,AS31708,Coreix Limited - IPv6 Services
GB,mirrors.ukfast.co.uk,2a02:22d0:5:249:46:37:174:166,2a02:22d0::/32,AS61323,
GB,mirrors.ukfast.co.uk,46.37.174.166,46.37.160.0/19,AS61323,
GE,epel.grena.ge,217.147.225.74,217.147.225.0/24,AS20545,GRENA Radio Network
GE,epel.srv.magticom.ge,213.157.205.216,213.157.192.0/20,AS16010,MAGTICOM
GE,epel.srv.magticom.ge,2a0b:6200:d:c::c,2a0b:6200::/29,AS16010,
GE,ge.mirror.cloud9.ge,45.138.45.21,45.138.45.0/24,AS57814,
GR,ftp.otenet.gr,2a02:587:dff:501::89,2a02:587::/35,AS6799,
GR,ftp.otenet.gr,212.205.74.89,212.205.0.0/16,AS6799,OTEnet
HK,hkg.mirror.rackspace.com,180.150.156.88,180.150.128.0/19,AS45187,REACH (Customer Route)
HK,mirror.01link.hk,172.67.197.157,172.67.192.0/20,AS13335,"Cloudflare, Inc."
HK,mirror.01link.hk,104.21.36.172,104.21.32.0/20,AS13335,"Cloudflare, Inc."
HK,mirror.01link.hk,2606:4700:3037::ac43:c59d,2606:4700:3037::/48,AS13335,"Cloudflare, Inc."
HK,mirror.01link.hk,2606:4700:3032::6815:24ac,2606:4700:3032::/48,AS13335,"Cloudflare, Inc."
HU,ftp.bme.hu,152.66.115.246,152.66.0.0/16,AS2547,BMENET
HU,ftp.bme.hu,2001:738:2001:2001::c1ca,2001:738::/32,AS1955,HBONE/Hungarnet
HU,mirror.szerverem.hu,193.225.55.64,193.224.0.0/15,AS1955,HBONE/HUNGARNET Block 02
ID,mirror.biznetgio.com,103.89.154.81,103.89.154.0/24,AS133800,origin AS133800 via CBN
ID,mirror.citrahost.com,117.20.49.107,117.20.49.0/24,AS23951,PT Jembatan Citra Nusantara
ID,mirror.nevacloud.com,36.50.77.113,36.50.77.0/24,AS138115,Route Object for 36.50.77.0/24
ID,mirror.papua.go.id,103.100.247.59,103.100.247.0/24,AS136842,Routes announced to Level 3 by BIZNET.
ID,mirror.papua.go.id,2405:bc0:8000:247::59,2405:bc0:8000::/48,AS136842,Pemerintah Provinsi Papua
IL,rep-epel-il.upress.io,31.154.69.218,31.154.0.0/17,AS12400,
IN,repo.extreme-ix.org,103.77.111.8,103.77.111.0/24,AS135814,Extreme IX
IS,centos.is,2a06:a101:80:80::2,2a06:a100::/29,AS48685,Opin Kerfi Route
IS,centos.is,176.57.227.242,176.57.224.0/20,AS48685,OK Route
IS,epel.hysing.is,2a02:f48:2104:1000::1:1,2a02:f48:2104::/48,AS44515,F5-v6-1
IS,epel.hysing.is,82.221.64.42,82.221.64.0/22,AS44515,F5-v4-1
IS,www.fedora.is,2a06:a101:80:80::2,2a06:a100::/29,AS48685,Opin Kerfi Route
IS,www.fedora.is,176.57.227.242,176.57.224.0/20,AS48685,OK Route
IT,centos.mirror.garr.it,90.147.160.70,90.147.0.0/16,AS137,GARR routes
IT,centos.mirror.garr.it,2001:760:ffff:b6:4:100:0:72,2001:760::/32,AS137,GARR-IPv6
IT,fedora.mirror.garr.it,90.147.160.70,90.147.0.0/16,AS137,GARR routes
IT,fedora.mirror.garr.it,2001:760:ffff:b6:4:100:0:72,2001:760::/32,AS137,GARR-IPv6
IT,it1.mirror.vhosting-it.com,2a0c:79c0:1:eb::4,2a0c:79c0:1::/48,AS60798,VHosting Solution srl
IT,it1.mirror.vhosting-it.com,185.116.60.235,185.116.60.0/24,AS60798,VHosting Solution srl
IT,it2.mirror.vhosting-it.com,86.105.14.235,86.105.14.0/24,AS12779,VHosting Solution @IT.Gate
IT,it2.mirror.vhosting-it.com,2a0c:79c0:2:eb::4,2a0c:79c0:2::/48,AS12779,VHosting Solution @IT.Gate
JP,"alma.acidman.thelefty.org, jp.alma.acidman.thelefty.org",103.202.217.13,103.202.217.0/24,AS59105,Home NOC Operators Group IPv4 BLOCK-2
JP,"alma.acidman.thelefty.org, jp.alma.acidman.thelefty.org",2403:bd80:c100:401:3e52:82ff:fe01:bfa5,2403:bd80::/32,AS59105,Home NOC Operators Group IPv6 ORIGIN-BLOCK-1
JP,"alma.acidman.thelefty.org, jp.alma.acidman.thelefty.org",103.202.217.13,103.202.217.0/24,AS59105,Home NOC Operators Group IPv4 BLOCK-2
JP,"alma.acidman.thelefty.org, jp.alma.acidman.thelefty.org",2403:bd80:c100:401:3e52:82ff:fe01:bfa5,2403:bd80::/32,AS59105,Home NOC Operators Group IPv6 ORIGIN-BLOCK-1
JP,ftp.iij.ad.jp,2001:240:bb8f:f::10,2001:240::/32,AS2497,IIJ IPv6 BLOCK ( AS2497 )
JP,ftp.iij.ad.jp,202.232.140.10,202.232.0.0/16,AS2497,IIJ IPv4 BLOCK ( AS2497 )
JP,ftp.riken.jp,134.160.38.1,134.160.0.0/16,AS2907,The Institute of Physical and Chemical Research
JP,ftp.udx.icscoe.jp,2401:5e40:1000:1112::228,2401:5e40::/33,AS63770,Industrial Cyber Security Center of Excellence
JP,ftp.udx.icscoe.jp,219.100.92.228,219.100.92.0/24,AS63770,Industrial Cyber Security Center of Excellence
JP,ftp.yz.yamagata-u.ac.jp,133.24.248.18,133.24.248.0/24,AS131159,Yamagata University
JP,ftp.yz.yamagata-u.ac.jp,133.24.248.19,133.24.248.0/24,AS131159,Yamagata University
JP,ftp.yz.yamagata-u.ac.jp,133.24.248.17,133.24.248.0/24,AS131159,Yamagata University
JP,ftp.yz.yamagata-u.ac.jp,133.24.248.16,133.24.248.0/24,AS131159,Yamagata University
JP,ftp.yz.yamagata-u.ac.jp,2001:df0:25e:e100::3,2001:df0:25e::/48,AS131159,Yamagata University
JP,ftp.yz.yamagata-u.ac.jp,2001:df0:25e:e100::2,2001:df0:25e::/48,AS131159,Yamagata University
JP,linux.yz.yamagata-u.ac.jp,133.24.248.18,133.24.248.0/24,AS131159,Yamagata University
JP,linux.yz.yamagata-u.ac.jp,133.24.248.19,133.24.248.0/24,AS131159,Yamagata University
JP,linux.yz.yamagata-u.ac.jp,133.24.248.17,133.24.248.0/24,AS131159,Yamagata University
JP,linux.yz.yamagata-u.ac.jp,133.24.248.16,133.24.248.0/24,AS131159,Yamagata University
JP,linux.yz.yamagata-u.ac.jp,2001:df0:25e:e100::3,2001:df0:25e::/48,AS131159,Yamagata University
JP,linux.yz.yamagata-u.ac.jp,2001:df0:25e:e100::2,2001:df0:25e::/48,AS131159,Yamagata University
KE,centos-stream.mirror.liquidtelecom.com,197.155.77.1,197.155.77.0/24,AS30844,Maintainer Liquid Telecommunications Operations Limited
KE,centos-stream.mirror.liquidtelecom.com,2c0f:fe40:8001:10::1,2c0f:fe40::/32,AS30844,Proxy registered route object
KE,epel.mirror.liquidtelecom.com,197.155.77.1,197.155.77.0/24,AS30844,Maintainer Liquid Telecommunications Operations Limited
KE,epel.mirror.liquidtelecom.com,2c0f:fe40:8001:10::1,2c0f:fe40::/32,AS30844,Proxy registered route object
KE,fedora-alt.mirror.liquidtelecom.com,197.155.77.1,197.155.77.0/24,AS30844,Maintainer Liquid Telecommunications Operations Limited
KE,fedora-alt.mirror.liquidtelecom.com,2c0f:fe40:8001:10::1,2c0f:fe40::/32,AS30844,Proxy registered route object
KE,fedora-archive.mirror.liquidtelecom.com,197.155.77.1,197.155.77.0/24,AS30844,Maintainer Liquid Telecommunications Operations Limited
KE,fedora-archive.mirror.liquidtelecom.com,2c0f:fe40:8001:10::1,2c0f:fe40::/32,AS30844,Proxy registered route object
KE,fedora.mirror.liquidtelecom.com,197.155.77.1,197.155.77.0/24,AS30844,Maintainer Liquid Telecommunications Operations Limited
KE,fedora.mirror.liquidtelecom.com,2c0f:fe40:8001:10::1,2c0f:fe40::/32,AS30844,Proxy registered route object
KE,fedora-secondary.mirror.liquidtelecom.com,197.155.77.1,197.155.77.0/24,AS30844,Maintainer Liquid Telecommunications Operations Limited
KE,fedora-secondary.mirror.liquidtelecom.com,2c0f:fe40:8001:10::1,2c0f:fe40::/32,AS30844,Proxy registered route object
KH,mirror.sabay.com.kh,118.67.200.33,118.67.200.0/24,AS7712,CIDC INFORMATION TECHNOLOGY CO.; LTD.
KH,mirror.sabay.com.kh,2405:aa00:2::33,2405:aa00::/32,AS7712,CIDC INFORMATION TECHNOLOGY CO.; LTD.
KH,mirror.sabay.com.kh,118.67.201.33,118.67.201.0/24,AS7712,CIDC INFORMATION TECHNOLOGY CO.; LTD.
KH,mirror.sabay.com.kh,2405:aa00:1::33,2405:aa00::/32,AS7712,CIDC INFORMATION TECHNOLOGY CO.; LTD.
ko,mirror.navercorp.com,125.209.216.167,125.209.216.0/22,AS23576,NHN
KR,ftp.kaist.ac.kr,2001:320:237::2,2001:320::/32,AS1237,KINX-6NGIX
KR,ftp.kaist.ac.kr,210.117.237.2,210.117.237.0/24,AS152671,Korea Internet & Security Agency (KISA)
KR,"rsync-icn.yuki.net.uk, mirror-icn.yuki.net.uk",182.237.60.103,182.237.60.0/22,AS38676,CRUnet
KR,"rsync-icn.yuki.net.uk, mirror-icn.yuki.net.uk",182.237.60.103,182.237.60.0/22,AS38676,CRUnet
KR,mirror.krfoss.org,104.18.2.112,104.18.0.0/20,AS13335,"Cloudflare, Inc."
KR,mirror.krfoss.org,2606:4700::6812:270,2606:4700::/44,AS13335,"Cloudflare, Inc."
KR,mirror.krfoss.org,2606:4700::6812:370,2606:4700::/44,AS13335,"Cloudflare, Inc."
KR,mirror.krfoss.org,104.18.3.112,104.18.0.0/20,AS13335,"Cloudflare, Inc."
KZ,mirror.hoster.kz,194.4.58.247,194.4.58.0/24,AS202958,
KZ,mirror.ps.kz,195.210.46.141,195.210.46.0/24,AS48716,PS Internet Company LLC Network
KZ,mirror.ps.kz,2a00:5da0:1:1::141,2a00:5da0::/36,AS48716,
LT,epel.mirror.serveriai.lt,194.135.92.100,194.135.80.0/20,AS62282,LT-RACKRAY
LT,mirror.cherryservers.com,84.32.214.172,84.32.214.0/24,AS16125,autogen
LT,mirror.vpsnet.com,2a05:7cc0::91:211:244:15,2a05:7cc0::/29,AS61053,ESNET
LT,mirror.vpsnet.com,91.211.244.15,91.211.244.0/22,AS61053,ESNET
LU,fedora.mirror.root.lu,2a01:608:f::1337,2a01:608::/32,AS5577,root SA
LU,fedora.mirror.root.lu,195.24.74.198,195.24.72.0/21,AS5577,root SA
LV,centos-stream.koyanet.lv,2a00:17c0:c6::1:b,2a00:17c0::/32,AS12993,Digitalas Ekonomikas Attistibas Centrs
LV,centos-stream.koyanet.lv,89.111.47.132,89.111.0.0/18,AS12993,Digitalas Ekonomikas Attistibas Centrs
LV,fedora-epel.koyanet.lv,2a00:17c0:c6::1:6,2a00:17c0::/32,AS12993,Digitalas Ekonomikas Attistibas Centrs
LV,fedora-epel.koyanet.lv,89.111.47.130,89.111.0.0/18,AS12993,Digitalas Ekonomikas Attistibas Centrs
LV,ftp.linux.edu.lv,5.179.20.176,5.179.16.0/21,AS8605,University of Latvia
LV,ftp.linux.edu.lv,2001:67c:2198:1336::16,2001:67c:2198::/48,AS8605,University of Latvia
LV,mirror.veesp.com,2a0c:16c1:1:1500:225:c2ff:fe00:31,2a0c:16c1::/32,AS42532,VEESP datacenter clients
LV,mirror.veesp.com,185.242.105.70,185.242.104.0/22,AS42532,
MD,mirror.hosthink.net,185.163.47.71,185.163.47.0/24,AS39798,MivoCloud
MD,mirror.mangohost.net,45.83.178.178,45.83.178.0/24,AS56380,
MD,repo.fedora.md,95.65.43.79,95.65.0.0/18,AS31252,SC STARNET SRL
mk,mirror.t-home.mk,195.26.153.65,195.26.153.0/24,AS6821,ROUTE-OBJ-IT-MTNET
MY,fedora.mirror.thegigabit.com,118.107.220.179,118.107.220.0/24,AS55720,Customer
MY,fedora.mirror.thegigabit.com,2402:9500:e000:1003::ba17:2,2402:9500:e000::/48,AS55720,Gigabit Hosting Sdn Bhd
MY,mirrors.ipserverone.com,2403:1cc0:1000:902:103:197:57:60,2403:1cc0:1000::/48,AS45352,IPDC SOLUTIONS SDN BHD
MY,mirrors.ipserverone.com,103.197.57.60,103.197.57.0/24,AS45352,Route Object - 103.197.57.0/24
MY,repo2.shinjiru.com,111.90.158.246,111.90.158.0/24,AS19324,Shinjiru Technology Sdn Bhd
MY,repo2.shinjiru.com,2407:6c00:18:1::2fd,2407:6c00:18::/48,AS45839,route object for 2407:6c00:18::/48
NL,centos-stream.mirror.wearetriple.com,93.187.10.24,93.187.10.0/24,AS50295,Triple-IT Hosting Facilities
NL,centos-stream.mirror.wearetriple.com,2a00:1f00:dc06:10::6,2a00:1f00::/32,AS50295,Triple-IT Hosting Facilities
NL,eu.edge.kernel.org,2a01:60a::1994:3:14,2a01:60a::/32,AS7979,SERVERS.COM AMS7
NL,eu.edge.kernel.org,213.196.21.55,213.196.21.0/24,AS7979,SERVERS.COM AMS7
NL,ftp.tudelft.nl,131.180.77.11,131.180.0.0/16,AS1128,Delft University of Technology Network
NL,repo.centos.mirror.famaserver.com,45.252.182.13,45.252.182.0/24,AS48011,"Path Network, Inc. - Anycasted Proxy-Route for AS48011"
NL,mirror.ams-1.serverforge.org,2602:fb68:40::4,2602:fb68:40::/42,AS50842,AMS1
NL,mirror.ams-1.serverforge.org,130.12.241.4,130.12.241.0/24,AS50842,ServerForge AMS
NL,mirror.hostnet.nl,91.184.8.79,91.184.0.0/19,AS19905,SP-HOSTNET
NL,mirror.i3d.net,2a00:1633:3400::214,2a00:1633::/32,AS49544,i3D.net B.V. Tokyo Japan
NL,mirror.i3d.net,103.194.167.214,103.194.164.0/22,AS49544,i3D.net B.V. Tokyo Japan
NL,"epel.mirror.liteserver.nl, mirror.liteserver.nl, fedora.mirror.liteserver.nl",2a04:52c0:1000:254::254,2a04:52c0:1000::/48,AS60404,
NL,"epel.mirror.liteserver.nl, mirror.liteserver.nl, fedora.mirror.liteserver.nl",192.76.153.254,192.76.153.0/24,AS60404,
NL,"epel.mirror.liteserver.nl, mirror.liteserver.nl, fedora.mirror.liteserver.nl",2a04:52c0:1000:254::254,2a04:52c0:1000::/48,AS60404,
NL,"epel.mirror.liteserver.nl, mirror.liteserver.nl, fedora.mirror.liteserver.nl",192.76.153.254,192.76.153.0/24,AS60404,
NL,"epel.mirror.liteserver.nl, mirror.liteserver.nl, fedora.mirror.liteserver.nl",2a04:52c0:1000:254::254,2a04:52c0:1000::/48,AS60404,
NL,"epel.mirror.liteserver.nl, mirror.liteserver.nl, fedora.mirror.liteserver.nl",192.76.153.254,192.76.153.0/24,AS60404,
NL,mirror.netone.nl,2001:67c:dec:195:95:177:10:a,2001:67c:dec::/48,AS200132,
NL,mirror.netone.nl,195.95.177.10,195.95.177.0/24,AS200132,
NL,mirror.nl.leaseweb.net,2001:1af8:4700:b210::33,2001:1af8::/32,AS60781,NL-LEASEWEB-20040408
NL,mirror.nl.leaseweb.net,5.79.108.33,5.79.64.0/18,AS60781,LEASEWEB
NL,mirrors.hostiserver.com,45.84.31.11,45.84.31.0/24,AS32338,
NL,mirrors.hostiserver.com,2a05:44c1:1:5::555,2a05:44c1::/32,AS32338,
NL,mirror.transip.net,2a01:7c8:901:0:c01d:c0ff:ee:bad3,2a01:7c8::/32,AS20857,TransIP B.V. Amsterdam IPv6 network
NL,mirror.transip.net,80.69.65.9,80.69.64.0/19,AS20857,TransIP B.V. Amsterdam network
NL,mirror.wd6.net,2001:15c8:0:5a::225,2001:15c8::/32,AS20495,We Dare IPv6
NL,mirror.wd6.net,84.244.155.225,84.244.128.0/19,AS20495,We Dare B.V.
NO,"mirror.fjordos.com, rsync.fjordos.com",169.150.249.168,169.150.249.0/24,AS60068,CDN77 Los Angeles
NO,"mirror.fjordos.com, rsync.fjordos.com",2400:52e0:1a01::1111:1,2400:52e0:1a01::/48,AS200325,"BUNNYWAY, informacijske storitve d.o.o"
NO,"mirror.fjordos.com, rsync.fjordos.com",185.136.157.5,185.136.156.0/22,AS29066,velia.net Internetdienste GmbH
NZ,mirror.2degrees.nz,2406:e000:0:500::86,2406:e000::/32,AS23655,Vocus Route IPv6
NZ,mirror.2degrees.nz,202.36.220.86,202.36.220.0/23,AS23655,Vocus Route IPv4
PH,mirror.rise.ph,43.226.6.79,43.226.6.0/24,AS137074,Responsible Internet Sustainability Effort
PL,mirror.chmuri.net,193.178.43.153,193.178.43.0/24,AS50840,
PR,mirrors.upr.edu,2607:2000:1017:1:136:145:244:40,2607:2000::/32,AS5786,University of Puerto Rico
PR,mirrors.upr.edu,136.145.244.40,136.145.244.0/24,AS5786,University of Puerto Rico
RO,mirror.efect.ro,91.209.189.249,91.209.189.0/24,AS48571,SC efectRO SRL
RO,mirror.efect.ro,2a0c:cb40:1000::249,2a0c:cb40::/29,AS48571,
RO,mirror.eu.4psacloud.com,194.60.72.150,194.60.72.0/24,AS34740,PCHardware
RO,mirror.eu.4psacloud.com,2a03:32e0:1:0:c23c:4896:0:150,2a03:32e0:1::/48,AS34740,4PSA Cloud
RO,mirror.flo.c-f.ro,37.251.174.43,37.251.160.0/20,AS34358,
RO,mirrors.chroot.ro,2a05:91c0:504::178,2a05:91c0::/32,AS56430,Chroot Network SRL
RO,mirrors.chroot.ro,86.105.155.178,86.105.155.0/24,AS56430,Chroot Network SRL
RO,mirrors.hosterion.ro,2a06:cd40:100:cafe::2,2a06:cd40:100::/48,AS43927,
RO,mirrors.hosterion.ro,91.188.226.250,91.188.226.0/24,AS43927,
RO,mirrors.hostico.ro,188.241.222.52,188.241.222.0/24,AS5606,Awesome Projects S.R.L.
RO,mirrors.nav.ro,5.154.224.26,5.154.224.0/24,AS6718,NAV Communications
RO,mirrors.nav.ro,2a00:ece0:6718:103::a,2a00:ece0::/32,AS6718,NAV Communications
RO,mirrors.nxthost.com,2a02:13f0:8200::b064:c4fe,2a02:13f0:8200::/48,AS64398,NXTSERVERS-NET
RO,mirrors.nxthost.com,5.83.47.15,5.83.47.0/24,AS64398,NXTSERVERS-NET
RS,mirror.etf.bg.ac.rs,147.91.8.38,147.91.0.0/17,AS13092,Academic Network of Serbia (AMRES)
RU,fedora-mirror02.rbc.ru,80.68.250.216,80.68.250.0/24,AS20848,RosBusinessConsulting DC Network
RU,ftp.nsc.ru,2a00:bf00:0:3::3,2a00:bf00::/32,AS5387,RU-SBRAS-20110217
RU,ftp.nsc.ru,217.79.61.35,217.79.60.0/22,AS5387,NSC BB
RU,mirror.hyperdedic.ru,45.157.140.21,45.157.140.0/24,AS213717,
RU,mirror.logol.ru,89.108.110.121,89.108.110.0/24,AS197695,Reg.Ru-B2C
RU,mirrors.powernet.com.ru,31.128.159.4,31.128.159.0/24,AS51032,POWERNET ISP
RU,mirror.yandex.ru,2a02:6b8::183,2a02:6b8::/32,AS13238,Yandex network
RU,mirror.yandex.ru,213.180.204.183,213.180.192.0/19,AS13238,Yandex network
SA,mirror.maeen.sa,212.138.116.34,212.138.0.0/16,AS8895,ITC via EMIX
SE,ftp.lysator.liu.se,130.236.254.253,130.236.0.0/16,AS2843,LIUNET
SE,ftp.lysator.liu.se,2001:6b0:17:f0a0::fb,2001:6b0::/32,AS1653,SUNET
SE,ftp.lysator.liu.se,130.236.254.251,130.236.0.0/16,AS2843,LIUNET
SE,ftp.lysator.liu.se,2001:6b0:17:f0a0::fd,2001:6b0::/32,AS1653,SUNET
SE,mirror.accum.se,194.71.11.165,194.71.11.0/24,AS15980,ftp-archive
SE,mirror.accum.se,194.71.11.173,194.71.11.0/24,AS15980,ftp-archive
SE,mirror.accum.se,2001:6b0:19::165,2001:6b0::/32,AS1653,SUNET
SE,mirror.accum.se,2001:6b0:19::173,2001:6b0::/32,AS1653,SUNET
SE,mirror.bahnhof.net,2001:9b0:fff5:c::2,2001:9b0::/32,AS8473,Bahnhof Ipv6-aggregate
SE,mirror.bahnhof.net,98.128.159.146,98.128.0.0/16,AS8473,
SE,mirror.nsc.liu.se,130.236.101.93,130.236.0.0/16,AS2843,LIUNET
SE,mirror.nsc.liu.se,2001:6b0:17:2::1:93,2001:6b0::/32,AS1653,SUNET
SE,mirrors.glesys.net,2a02:750:9::e8,2a02:750::/29,AS42708,
SE,mirrors.glesys.net,109.74.12.226,109.74.0.0/20,AS42708,
SG,mirror.freedif.org,66.96.199.63,66.96.199.0/24,AS56300,MyRepublic Pte Ltd
SI,ftp.arnes.si,193.2.241.134,193.2.0.0/16,AS2107,ARNES provider block
SI,ftp.arnes.si,2001:1470:8000:40::134,2001:1470::/32,AS2107,ARNES provider block
SK,ftp.upjs.sk,2001:4118:400:10::70,2001:4118::/33,AS2607,SANET-AS2607-BLOCK
SK,ftp.upjs.sk,158.197.16.70,158.197.0.0/17,AS2607,UPJSNET
TH,mirror.kku.ac.th,202.28.95.174,202.28.92.0/22,AS9546,Khonkean University via UniNet
TH,mirror.kku.ac.th,2001:3c8:c108:2895::2,2001:3c8::/32,AS4621,UniNet Network Thailand IPv6 block
TH,mirrors.thzhost.com,103.246.18.124,103.246.16.0/22,AS131447,CSLoxinfo IDC customer
TH,mirrors.thzhost.com,2401:5700:503:124::1,2401:5700::/32,AS131447,"World Datanetwork Corporation Co., Ltd."
TR,linus.iyte.edu.tr,193.140.248.40,193.140.248.0/22,AS8517,ULAKNET
TW,fedora.cs.nctu.edu.tw,140.113.17.5,140.113.0.0/16,AS9916,"Far Eastone Telecommunications Co., Ltd"
TW,fedora.cs.nycu.edu.tw,140.113.17.5,140.113.0.0/16,AS9916,"Far Eastone Telecommunications Co., Ltd"
TW,free.nchc.org.tw,140.110.240.80,140.110.0.0/16,AS7539,Taiwan Network Information Center
TW,free.nchc.org.tw,2001:e10:2000:240:e643:4bff:fee8:a63c,2001:e10::/32,AS7539,Taiwan Network Information Center
TW,mirror.twds.com.tw,103.147.22.36,103.147.22.0/24,AS18041,Customer Route - LOA provided
TW,mirror.twds.com.tw,2405:a640::36,2405:a640::/32,AS18041,Taiwan Network Information Center
UA,centos-stream.ip-connect.info,2001:67c:440:401::face:13,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,centos-stream.ip-connect.info,91.236.251.13,91.236.251.0/24,AS57944,V-node
UA,epel.ip-connect.info,2001:67c:440:401::face:13,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,epel.ip-connect.info,91.236.251.13,91.236.251.0/24,AS57944,V-node
UA,epel.ip-connect.vn.ua,91.236.251.14,91.236.251.0/24,AS57944,V-node
UA,epel.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:38,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,epel.ip-connect.vn.ua,2001:67c:440:401::face:14,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
