AM,mirrors.teamcloud.am,178.160.211.197,178.160.208.0/21,AS12297,Armenia Telephone Company
UA,epel.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:35,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,epel.ip-connect.vn.ua,91.236.251.34,91.236.251.0/24,AS57944,V-node
UA,epel.ip-connect.vn.ua,91.236.251.35,91.236.251.0/24,AS57944,V-node
UA,epel.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:34,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,epel.ip-connect.vn.ua,91.236.251.38,91.236.251.0/24,AS57944,V-node
UA,"epel.mirror.omnilance.com, mirror.omnilance.com",2001:67c:25dc:2::128:20,2001:67c:25dc::/48,AS3236,SERVER.UA LLC
UA,"epel.mirror.omnilance.com, mirror.omnilance.com",185.126.112.9,185.126.112.0/24,AS3236,SERVER.UA LLC
UA,"epel.mirror.omnilance.com, mirror.omnilance.com",2001:67c:25dc:2::128:20,2001:67c:25dc::/48,AS3236,SERVER.UA LLC
UA,"epel.mirror.omnilance.com, mirror.omnilance.com",185.126.112.9,185.126.112.0/24,AS3236,SERVER.UA LLC
UA,epel.mirror.ukraine.com.ua,2a06:6440:0:2d5f::1,2a06:6440::/29,AS200000,
UA,epel.mirror.ukraine.com.ua,185.104.45.95,185.104.44.0/22,AS200000,
UA,fedora-archive.ip-connect.info,2001:67c:440:401::face:13,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora-archive.ip-connect.info,91.236.251.13,91.236.251.0/24,AS57944,V-node
UA,fedora-archive.ip-connect.vn.ua,91.236.251.14,91.236.251.0/24,AS57944,V-node
UA,fedora-archive.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:38,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora-archive.ip-connect.vn.ua,2001:67c:440:401::face:14,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora-archive.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:35,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora-archive.ip-connect.vn.ua,91.236.251.34,91.236.251.0/24,AS57944,V-node
UA,fedora-archive.ip-connect.vn.ua,91.236.251.35,91.236.251.0/24,AS57944,V-node
UA,fedora-archive.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:34,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora-archive.ip-connect.vn.ua,91.236.251.38,91.236.251.0/24,AS57944,V-node
UA,fedora.ip-connect.info,2001:67c:440:401::face:13,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora.ip-connect.info,91.236.251.13,91.236.251.0/24,AS57944,V-node
UA,fedora.ip-connect.vn.ua,91.236.251.14,91.236.251.0/24,AS57944,V-node
UA,fedora.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:38,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora.ip-connect.vn.ua,2001:67c:440:401::face:14,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:35,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora.ip-connect.vn.ua,91.236.251.34,91.236.251.0/24,AS57944,V-node
UA,fedora.ip-connect.vn.ua,91.236.251.35,91.236.251.0/24,AS57944,V-node
UA,fedora.ip-connect.vn.ua,2001:67c:440:f620:91:236:251:34,2001:67c:440::/48,AS57944,** IP-Connect IPv6 IPv6 route ***
UA,fedora.ip-connect.vn.ua,91.236.251.38,91.236.251.0/24,AS57944,V-node
UA,mirror.lanet.network,194.60.69.3,194.60.69.0/24,AS39608,Lanet Network Ltd
UA,mirror.vsys.host,2a09:2dc0:0:20::1,2a09:2dc0::/29,AS30860,
UA,mirror.vsys.host,176.119.25.254,176.119.25.0/24,AS30860,
US,abqix.mm.fcix.net,2605:6800:3:1::60,2605:6800::/32,AS11996,"Lobo Internet Service, Ltd."
US,abqix.mm.fcix.net,216.243.99.60,216.243.96.0/20,AS11996,"Lobo Internet Service, Ltd."
US,atl.mirrors.knownhost.com,2600:4c00:400::2,2600:4c00:400::/40,AS63410,PNAP-ACS knownhost-3
US,atl.mirrors.knownhost.com,67.222.0.49,67.222.0.0/21,AS30496,PNAP-DAL Colo4dallas Route
US,bungi.mm.fcix.net,65.50.199.136,65.50.199.0/24,AS6596,Wave Broadband
US,mirror.shastacoe.net,2602:fd01:40:80::51,2602:fd01:40::/48,AS23483,Shasta County Office of Education
US,mirror.shastacoe.net,66.244.16.51,66.244.16.0/24,AS23483,
US,centos-stream-distro.1gservers.com,104.251.122.5,104.251.122.0/23,AS14315,1GServers.com
US,centos-stream-distro.1gservers.com,2605:8340:0:4::2,2605:8340::/32,AS14315,"1GServers, LLC"
US,cfhcable.mm.fcix.net,2606:3b80:0:1::2,2606:3b80::/32,AS394109,CFH CABLE INC
US,cfhcable.mm.fcix.net,146.71.75.10,146.71.75.0/24,AS394109,CFH CABLE INC
US,codingflyboy.mm.fcix.net,23.173.80.16,23.173.80.0/24,AS399242,CodingFlyBoy LLC - West (IPv4)
US,codingflyboy.mm.fcix.net,2602:809:b000::16,2602:809:b000::/48,AS399242,CodingFlyBoy LLC - West (Fremont 2)
US,cofractal-ewr.mm.fcix.net,199.255.19.134,199.255.19.0/24,AS26073,dbac7358-d9cb-4fe7-8970-138a03a1263c
US,cofractal-ewr.mm.fcix.net,2606:7940:52:10::10,2606:7940::/33,AS26073,OBJECT-CFRCTL-d65af47d-98b2-4f7a-a663-11fc8d49a6c0
US,cofractal-sea.mm.fcix.net,199.255.18.196,199.255.18.0/24,AS26073,.
US,cofractal-sea.mm.fcix.net,2606:7940:32:22::10,2606:7940::/33,AS26073,OBJECT-CFRCTL-d65af47d-98b2-4f7a-a663-11fc8d49a6c0
US,coresite-atl.mm.fcix.net,2604:3fc0:2002::76,2604:3fc0:2000::/36,AS2734,Coresite
US,coresite-atl.mm.fcix.net,66.35.67.76,66.35.67.0/24,AS2734,CORESITE IP BACKBONE
US,coresite.mm.fcix.net,98.158.155.164,98.158.152.0/22,AS2734,Coresite IP Backbone
US,coresite.mm.fcix.net,2605:6c00:7000:25::164,2605:6c00:7000::/36,AS2734,Coresite IP Backbone
US,dfw.mirror.rackspace.com,74.205.112.120,74.205.64.0/18,AS33070,"Rackspace Managed Hosting, 9725 Data point drive, Suite 100, San Antonio, TX 78229"
US,download-cc-rdu01.fedoraproject.org,8.43.85.72,8.43.84.0/22,AS17314,Proxy route object registered by Flexential for customer
US,download-cc-rdu01.fedoraproject.org,2620:52:3:1:dead:beef:cafe:fed1,2620:52:3::/48,AS17314,"Red Hat, Inc."
US,download-ib01.fedoraproject.org,152.2.23.106,152.2.0.0/16,AS36850,Autogenerated route object for transit customer
US,download-ib01.fedoraproject.org,2606:f640:6000:651::10,2606:f640::/32,AS36850,Autogenerated route object for transit customer
US,epel.mirror.constant.com,108.61.5.85,108.61.0.0/19,AS20473,Choopa LLC
US,epel.mirror.constant.com,2001:19f0:1595:1403::1085,2001:19f0:1400::/38,AS20473,Choopa LLC PNJ1
US,epel.mirror.shastacoe.net,2602:fd01:40:80::51,2602:fd01:40::/48,AS23483,Shasta County Office of Education
US,epel.mirror.shastacoe.net,66.244.16.51,66.244.16.0/24,AS23483,
US,fedora-mirror-atl.gigsouth.com,162.255.90.27,162.255.88.0/21,AS2728,"4355 Cobb Parkway, Suite J412"
US,fedora-mirror-atl.gigsouth.com,2605:7b80:63:5::27,2605:7b80::/32,AS2728,"4355 Cobb Parkway, Suite J412"
US,fedora.mirror.constant.com,2001:19f0:1595:1403::1084,2001:19f0:1400::/38,AS20473,Choopa LLC PNJ1
US,fedora.mirror.constant.com,108.61.5.84,108.61.0.0/19,AS20473,Choopa LLC
US,forksystems.mm.fcix.net,2620:39:6000:103::2,2620:39:6000::/48,AS807,Fork Systems - FORKNET1-V6
US,forksystems.mm.fcix.net,23.147.64.7,23.147.64.0/24,AS807,Fork Systems - FORKNET1-V4
US,ftp-chi.osuosl.org,64.50.236.52,64.50.224.0/19,AS4181,TDS Telecom
US,ftp-chi.osuosl.org,2600:3402:200:227::2,2600:3400::/28,AS4181,TDS Telecom route object
US,ftpmirror.your.org,163.237.219.7,163.237.0.0/16,AS19255,Redwood Network Design
US,ftpmirror.your.org,2001:4978:1000:1499::7,2001:4978:1000::/36,AS19255,ORD
US,ftp-nyc.osuosl.org,2600:3404:200:237::2,2600:3400::/28,AS4181,TDS Telecom route object
US,ftp-nyc.osuosl.org,64.50.233.100,64.50.224.0/19,AS4181,TDS Telecom
US,ftp-osl.osuosl.org,140.211.166.134,140.211.0.0/16,AS3701,NERO Network
US,ftp-osl.osuosl.org,2605:bc80:3010::134,2605:bc80::/32,AS3701,NERO Network
US,ftp.usf.edu,131.247.253.85,131.247.0.0/16,AS5661,University of South Florida IPv4
US,ftp.usf.edu,2607:fe50:0:f30b::85,2607:fe50::/32,AS5661,University of South Florida IPv6
US,gigsouth.mm.fcix.net,162.255.95.138,162.255.88.0/21,AS2728,"4355 Cobb Parkway, Suite J412"
US,gigsouth.mm.fcix.net,2605:7b80:1:1::2,2605:7b80::/32,AS2728,"4355 Cobb Parkway, Suite J412"
US,repo.ialab.dsu.edu,138.247.115.248,138.247.0.0/16,AS23122,Dakota State University
US,iad.mirror.rackspace.com,72.4.120.219,72.4.112.0/20,AS27357,"Rackspace, 5000 Walzem Road, San Antonio, TX 78218"
US,insect.mm.fcix.net,192.104.234.28,192.104.234.0/24,AS395287,MSC Inc HQ
US,insect.mm.fcix.net,2620:128:2000::28,2620:128:2000::/40,AS395287,MSC Inc HQ
US,irltoolkit.mm.fcix.net,205.207.66.207,205.207.66.0/24,AS40080,IRLTK V4 Range A
US,irltoolkit.mm.fcix.net,2602:fb31::207,2602:fb31::/48,AS40080,"IRLTK V6 Range - Los Angeles, CA"
US,ix-denver.mm.fcix.net,23.144.216.11,23.144.216.0/24,AS399029,"98 Wadsworth Blvd Unit 127, PMB #5070"
US,ix-denver.mm.fcix.net,2607:dc0::11,2607:dc0::/32,AS399029,"98 Wadsworth Blvd Unit 127, PMB #5070"
US,linux.mirrors.es.net,2001:400:201:6::35,2001:400::/32,AS293,Energy Sciences Network
US,linux.mirrors.es.net,198.129.224.35,198.128.0.0/14,AS292,Energy Sciences Network
US,linux-mirrors.fnal.gov,131.225.105.75,131.225.0.0/16,AS3152,Fermi National Accelerator Lab
US,linux-mirrors.fnal.gov,2620:6a:0:105::105:75,2620:6a::/48,AS3152,Fermi National Accelerator Lab
US,lolhost.mm.fcix.net,198.137.202.17,198.137.202.0/24,AS7247,Javier Henderson
US,lolhost.mm.fcix.net,2607:7c80:54:3::17,2607:7c80:54::/48,AS7247,Javier Henderson
US,mirror.math.princeton.edu,128.112.18.21,128.112.0.0/16,AS88,Princeton University
US,mirror.chpc.utah.edu,204.99.128.20,204.99.128.0/24,AS17055,This is a UofU prefix announced by UEN
US,mirror.chpc.utah.edu,2001:1948:417:5::20,2001:1948::/32,AS210,This is a UEN owned route
US,mirror.cogentco.com,66.28.3.135,66.28.0.0/16,AS174,Cogent
US,mirror.compevo.com,103.25.61.44,103.25.61.0/24,AS12179,PNAP-DAL INAP-DAL
US,mirror.cs.odu.edu,128.82.4.140,128.82.0.0/21,AS1201,OLDDOMINIONUNIVERSITY
US,mirror.cs.princeton.edu,128.112.136.56,128.112.0.0/16,AS88,Princeton University
US,"cs.siue.edu, mirror.cs.siue.edu",146.163.150.1,146.163.128.0/18,AS53695,Southern Illinois University Edwardsville
US,"cs.siue.edu, mirror.cs.siue.edu",146.163.150.31,146.163.128.0/18,AS53695,Southern Illinois University Edwardsville
US,mirror.dal.nexril.net,161.129.154.250,161.129.154.0/24,AS13830,Nexril
US,mirror.dal.nexril.net,2604:fbc0:4::2,2604:fbc0::/36,AS13830,Nexril
US,mirror.ette.biz,38.105.93.109,38.0.0.0/8,AS174,Cogent
US,mirror.facebook.net,2620:10d:c091:450::31,2620:10d:c091::/48,AS54115,Meta Platforms Inc (ASH-CORP)
US,mirror.facebook.net,163.114.132.32,163.114.132.0/24,AS54115,Facebook Corp
US,mirror.fcix.net,23.152.160.16,23.152.160.0/24,AS7034,PhirePhly Design
US,mirror.fcix.net,2620:13b:0:1000::16,2620:13b::/48,AS7034,PhirePhly Design
US,"archive.fmt-2.serverforge.org, mirror.fmt-2.serverforge.org",2602:fb68:180::14,2602:fb68:180::/48,AS23428,ServerForge Fremont1
US,"archive.fmt-2.serverforge.org, mirror.fmt-2.serverforge.org",198.160.217.14,198.160.217.0/24,AS23428,ServerForge Fremont
US,"archive.fmt-2.serverforge.org, mirror.fmt-2.serverforge.org",2602:fb68:180::14,2602:fb68:180::/48,AS23428,ServerForge Fremont1
US,"archive.fmt-2.serverforge.org, mirror.fmt-2.serverforge.org",198.160.217.14,198.160.217.0/24,AS23428,ServerForge Fremont
US,mirror.grid.uchicago.edu,192.170.231.249,192.170.224.0/19,AS160,The University of Chicago
US,mirror.grid.uchicago.edu,2605:9a00:10:200b:e443:4bff:fe9e:1f52,2605:9a00:10::/48,AS160,The University of Chicago
US,"mirror.hoobly.com, centos.mirrors.hoobly.com",209.126.127.252,209.126.96.0/19,AS30083,Proxy registration to prevent harm from ARIN-NONAUTH shutdown
US,"mirror.hoobly.com, centos.mirrors.hoobly.com",209.126.127.252,209.126.96.0/19,AS30083,Proxy registration to prevent harm from ARIN-NONAUTH shutdown
US,mirror.its.umich.edu,141.211.76.133,141.211.0.0/16,AS36375,University of Michigan
US,mirror.lax.adaptivedatanetworks.com,2605:1080:2:f00::70,2605:1080:2::/48,AS23367,"Adaptive Data Networks, LLC"
US,mirror.lax.adaptivedatanetworks.com,64.250.124.70,64.250.112.0/20,AS23367,"Adaptive Data Networks, LLC"
US,mirror.lstn.net,69.162.115.247,69.162.64.0/18,AS46475,Limestone Networks Inc.
US,"archive.mci-1.serverforge.org, mirror.mci-1.serverforge.org",23.147.72.19,23.147.72.0/24,AS23428,ServerForge LLC Central US
US,"archive.mci-1.serverforge.org, mirror.mci-1.serverforge.org",2602:fb68:140::19,2602:fb68:140::/42,AS23428,ServerForge LLC Central US
US,"archive.mci-1.serverforge.org, mirror.mci-1.serverforge.org",23.147.72.19,23.147.72.0/24,AS23428,ServerForge LLC Central US
US,"archive.mci-1.serverforge.org, mirror.mci-1.serverforge.org",2602:fb68:140::19,2602:fb68:140::/42,AS23428,ServerForge LLC Central US
US,mirror.nodesdirect.com,23.92.92.94,23.92.80.0/20,AS19531,23.92.80.0/20
US,mirror.pilotfiber.com,216.158.133.254,216.158.128.0/19,AS46450,AS46450
US,mirror.pilotfiber.com,2606:3580:212:212::2,2606:3580::/32,AS46450,AS46450
US,mirrors.cat.pdx.edu,131.252.208.20,131.252.0.0/16,AS6366,Proxy route-object for Portland State University
US,mirror.servaxnet.com,162.255.226.75,162.255.224.0/22,AS46974,"ServaxNet, LLC"
US,mirror.servaxnet.com,2602:ff1a:501:1000::2,,,
US,mirror.sfo12.us.leaseweb.net,2605:fe80:2100:b001::5187,2605:fe80::/32,AS7203,"Leaseweb USA, Inc."
US,mirror.sfo12.us.leaseweb.net,209.58.135.187,209.58.128.0/20,AS7203,MNT-LU-76 route 209.058.128.000/20 AS7203
US,mirror.siena.edu,199.223.246.113,199.223.240.0/21,AS46379,Proxy registration for Siena College
US,mirrors.iu13.net,2620:1d5:ffd:1702::213,2620:1d5::/36,AS14773,Lancaster-Lebanon IU13 WAN Consortium
US,mirrors.iu13.net,206.82.17.213,206.82.17.0/24,AS14773,Lancaster-Lebanon IU13 WAN Consortium
US,mirrors.lug.mtu.edu,141.219.180.70,141.219.0.0/16,AS62618,Michigan Technological University
US,mirrors.mit.edu,18.7.29.125,18.7.0.0/16,AS3,Massachusetts Institute of Technology
US,mirrors.oit.uci.edu,128.200.84.31,128.200.0.0/16,AS299,UCI class B
US,mirrors.rc.rit.edu,2620:8d:8000:15:1ead:ed:c0:ffe,2620:8d:8000::/48,AS4385,Rochester Institute of Technology
US,mirrors.rc.rit.edu,129.21.171.72,129.21.0.0/16,AS4385,Rochester Institute of Technology
US,mirrors.sonic.net,157.131.224.201,157.131.128.0/17,AS46375,Sonic.net
US,mirrors.sonic.net,2001:5a8:601:4003:157:131:224:201,2001:5a8::/32,AS46375,"Sonic.net, Inc."
US,mirrors.vcea.wsu.edu,69.166.55.80,69.166.55.0/24,AS10430,WSUNET5
US,mirrors.wcupa.edu,144.26.0.246,144.26.0.0/16,AS29848,West Chester University (AS29848)
US,mirrors.wcupa.edu,2605::900:144:26:0:246,2605::/32,AS29848,West Chester University
US,mirrors.xmission.com,198.60.22.13,198.60.22.0/24,AS6315,XMission
US,mirrors.xmission.com,2607:fa18:0:3::13,2607:fa18::/32,AS6315,XMission
US,mirror.team-cymru.com,216.31.2.234,216.31.0.0/18,AS23028,Team Cymru
US,mirror.team-cymru.com,2604:8800:50:80:216:31:2:234,2604:8800::/32,AS23028,Team Cymru
US,mirror.tornadovps.com,71.19.148.195,71.19.148.0/24,AS47066,"prgmr.com, Inc"
US,mirror.tornadovps.com,2605:2700:0:2:216:3eff:fed1:f9cb,2605:2700::/32,AS47066,"prgmr.com, Inc"
US,mirror.uoregon.edu,184.171.124.180,184.171.0.0/17,AS3582,UONet
US,mirror.usi.edu,192.206.9.160,192.206.9.0/24,AS19782,University of Southern Indiana
US,mirror.usi.edu,2602:fc25:101:702::68,2602:fc25::/36,AS46149,University of Southern Indiana
US,mirror.us.leaseweb.net,2604:9a00:2010:a0b8::5,2604:9a00::/32,AS30633,"Leaseweb USA, Inc."
US,mirror.us.leaseweb.net,207.244.94.80,207.244.64.0/18,AS30633,"Leaseweb USA, Inc."
US,mirror.us.mirhosting.net,185.142.32.136,185.142.32.0/24,AS52000,MIRHOSTING-US2-ROUTE
US,mirror.us.mirhosting.net,2a03:afc0:3:1508::,2a03:afc0:3::/48,AS52000,MIRHOSTING-US4
US,mirror.web-ster.com,2604:d200::39,2604:d200::/32,AS33470,PO Box 880 SE 2ND AVENUE
US,mirror.web-ster.com,65.182.224.39,65.182.224.0/19,AS33470,PO Box 880 SE 2ND AVENUE
US,mnvoip.mm.fcix.net,2602:ffaa:0:d::209,2602:ffaa::/36,AS32621,TCV-ARIN
US,mnvoip.mm.fcix.net,192.69.77.209,192.69.77.0/24,AS32621,TCV-ARIN
US,na.edge.kernel.org,2605:f480:58:1:0:1994:3:14,2605:f480::/32,AS7979,SERVERS.COM US01
US,na.edge.kernel.org,142.0.200.124,142.0.200.0/24,AS7979,SERVERS.COM DFW1
US,nnenix.mm.fcix.net,2610:48:200:974::47,2610:48::/32,AS557,University of Maine System
US,nnenix.mm.fcix.net,209.222.200.200,209.222.192.0/19,AS557,University of Maine System
US,nocix.mm.fcix.net,69.30.208.233,69.30.192.0/18,AS32097,WII-69-30
US,nocix.mm.fcix.net,2001:4858:cc:1::46,2001:4858::/32,AS32097,WII-2001-4858
US,ohioix.mm.fcix.net,2602:fd28:50::b,2602:fd28::/36,AS62866,For OhioIX-hosted content.
US,ohioix.mm.fcix.net,134.195.207.11,134.195.207.0/24,AS62866,For OhioIX-hosted content.
US,opencolo.mm.fcix.net,2607:f358:1a:15::50,2607:f358:1a::/48,AS18779,Energy Group Network
US,opencolo.mm.fcix.net,50.117.120.66,50.117.120.0/24,AS18779,"OpenColo LOA'ed AS18779 3223 Kenneth St. Santa Clara, CA 95054"
US,ord.mirror.rackspace.com,166.78.229.131,166.78.192.0/18,AS19994,Rackspace
US,packages.oit.ncsu.edu,152.7.106.27,152.7.0.0/16,AS11442,Proxy-registered route object
US,paducahix.mm.fcix.net,23.189.48.83,23.189.48.0/24,AS399788,Quad State Internet LLC
US,paducahix.mm.fcix.net,2602:802:b040:fd31::2,2602:802:b040::/44,AS23248,Paducah Power System
US,plug-mirror.rcac.purdue.edu,128.211.151.251,128.211.128.0/19,AS397511,Purdue University
US,plug-mirror.rcac.purdue.edu,2001:18e8:804:35::3:1337,2001:18e8:800::/44,AS17,Purdue University
US,pubmirror1.math.uh.edu,129.7.128.189,129.7.128.0/20,AS7276,"UH-IT / CTS Houston, TX 77204-1010"
US,pubmirror2.math.uh.edu,129.7.128.190,129.7.128.0/20,AS7276,"UH-IT / CTS Houston, TX 77204-1010"
US,pubmirror3.math.uh.edu,129.7.128.191,129.7.128.0/20,AS7276,"UH-IT / CTS Houston, TX 77204-1010"
US,reflector.westga.edu,160.10.5.37,160.10.0.0/16,AS3479,Route Record for PeachNet - AS3479
US,ryamer.mm.fcix.net,2602:fb95:103:1::2,2602:fb95:100::/40,AS400587,Ryamer Chicago
US,ryamer.mm.fcix.net,121.127.34.66,121.127.34.0/24,AS400587,Ryamer
US,sjc.mirror.rackspace.com,159.135.194.176,159.135.192.0/19,AS12200,SJC IPs
US,solidrock.mm.fcix.net,23.191.104.35,23.191.104.0/24,AS401357,2791 N 3480 W
US,solidrock.mm.fcix.net,2602:f7e9:1:1::b,2602:f7e9::/40,AS401357,2791 N 3480 W
US,southfront.mm.fcix.net,147.160.170.17,147.160.170.0/24,AS397326,South Front Networks
US,southfront.mm.fcix.net,2620:13e:3008:16::2,2620:13e:3000::/40,AS397326,South Front Networks
US,"us.mirrors.cicku.me, us.dyi.ng",172.65.90.22,172.65.80.0/20,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",2606:4700:78::90:0:141,2606:4700:70::/44,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",172.65.90.23,172.65.80.0/20,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",2606:4700:78::90:0:143,2606:4700:70::/44,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",2606:4700:78::90:0:142,2606:4700:70::/44,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",2606:4700:78::90:0:140,2606:4700:70::/44,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",172.65.90.20,172.65.80.0/20,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",172.65.90.21,172.65.80.0/20,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",2606:4700:90:0:1e9c:6198:567e:46e9,2606:4700:90::/44,AS13335,"Cloudflare, Inc."
US,"us.mirrors.cicku.me, us.dyi.ng",172.65.184.192,172.65.176.0/20,AS13335,"Cloudflare, Inc."
US,volico.mm.fcix.net,208.68.237.5,208.68.237.0/24,AS33724,Proxy-registered route object
US,"www.gtlib.gatech.edu, rsync.gtlib.gatech.edu",128.61.111.9,128.61.64.0/18,AS2637,Georgia Tech
US,"www.gtlib.gatech.edu, rsync.gtlib.gatech.edu",128.61.111.7,128.61.64.0/18,AS2637,Georgia Tech
US,"www.gtlib.gatech.edu, rsync.gtlib.gatech.edu",128.61.111.11,128.61.64.0/18,AS2637,Georgia Tech
US,"www.gtlib.gatech.edu, rsync.gtlib.gatech.edu",128.61.111.9,128.61.64.0/18,AS2637,Georgia Tech
US,"www.gtlib.gatech.edu, rsync.gtlib.gatech.edu",128.61.111.7,128.61.64.0/18,AS2637,Georgia Tech
US,ziply.mm.fcix.net,2605:21c0:1000:4a::53,2605:21c0::/32,AS20055,� wholesail networks owned block
US,ziply.mm.fcix.net,50.47.0.53,50.46.0.0/15,AS20055,MNT-NFL-79 route 050.046.000.000/15 AS20055
VN,mirror.viettelcloud.vn,116.103.227.168,116.103.227.0/24,AS24086,Proxy-registered route object
ZA,mirror.za.abantu.cloud,102.222.156.242,102.222.156.0/24,AS37739,ABANTU
